"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;Фото;Описание
"Одеяло байковое";;Ермолино;Россия;;"ОБ-100х140 57-5ЕТОЖ-красн";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925531939;;Бирюзовый;;;"Тональность изделия может отличаться от фото";;;;"90% х/б+10%ПАН";"Красное Байковое  100х140  арт. 57-5ЕТОЖ 90% х/б  Ермолино одеяло";15;365;http://alvitek.com.ru/upload/iblock/8bb/8bb948550c25e1230e4c0df508001e68.jpeg;"Одеяло ""Байковые"", хлопок - 90%, ПАН - 10%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ-100х140 57-8ЕТЖ-зелено";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925531946;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;"100% хлопок";"Зеленое  Байковое жаккард 100х140 100% х/б арт. 57-8ЕТЖ Ермолино одеяло";9;457;http://alvitek.com.ru/upload/iblock/bbc/bbc69c6ad0619602005949d7939db006.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
Наматрасник;Холфит;"AlViTek (АльВиТек)";Россия;;НФ-120;120х200;;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048003886;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"НФ-120  Наматрасник с резинкой ""Холфит-Традиция"" 120х200";6;403;http://alvitek.com.ru/upload/iblock/8a9/8a9b2fb474578d6bdbd931896273033b.jpeg;"наматрасник на резинке с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г./кв.м), чехол - ткань 100% ПЭ, окантовка- бейка ПЭ, бирка, постер, в чемодане"
Подушка;Холфит;"AlViTek (АльВиТек)";Россия;Стандарт;ПБФД-4060;40х60;;Мягкая;;;;;;Холфит-пласт;;;;;;Поликоттон;"70% хлопок/30% полиэстр";;;;;;Кант;Пакет;;;;;4607048003749;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ПБФД-4060 Подушка ""Светлячок"" 40х60";19;123;http://alvitek.com.ru/upload/iblock/eb5/eb51fb08c8420eb6434e7abe3543c101.jpeg;"подушка с отстрочкой: наполнитель ""Холфит-пласт"" 300 г/кв.м, чехол - ткань смесовая (поликоттон; 70% - хлопок/30% - полиэстер; 120 г/кв.м) , кант, бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-150-БЕЖ;150х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012604;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;"ПР-СО-150-БЕЖ Бежевая Простынь ткань Сатин однотонный 150х214";6;517;http://alvitek.com.ru/upload/iblock/e21/e21dfe7a416aa689cd428cfd9629ca25.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-150-РОЗ;150х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012611;;Розовый;;;"Тональность изделия может отличаться от фото";;;;;"ПР-СО-150-РОЗ Розовая Простынь ткань Сатин однотонный 150х214";6;517;http://alvitek.com.ru/upload/iblock/9f0/9f0c779e2040f7c61e2a44eca23c9a4e.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-150-ГОЛ;150х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012598;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;"ПР-СО-150-ГОЛ Голубая Простынь ткань Сатин однотонный 150х214";4;517;http://alvitek.com.ru/upload/iblock/d95/d95f5e897ce23592b3db45c921610313.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-150-САЛ;150х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012628;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;"ПР-СО-150-САЛ Салатовая Простынь ткань Сатин однотонный 150х214";8;517;http://alvitek.com.ru/upload/iblock/f6c/f6ca886ec923a947b7f199d5e876ab5a.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-180-БЕЖ;180х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012635;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;"ПР-СО-180(180)-БЕЖ Бежевая Простынь ткань Сатин однотонный 180х214";3;613;http://alvitek.com.ru/upload/iblock/7f9/7f9ff52faf82c0716d1b8b6d5a703b3c.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-180-ГОЛ;180х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012642;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;"ПР-СО-180(180)-ГОЛ Голубая Простынь ткань Сатин однотонный 180х214";7;613;http://alvitek.com.ru/upload/iblock/288/28867bc673a3743b5a9493617eeb8e0c.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-180-РОЗ;180х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012659;;Розовый;;;"Тональность изделия может отличаться от фото";;;;;"ПР-СО-180(180)-РОЗ Розовая Простынь ткань Сатин однотонный 180х214";4;613;http://alvitek.com.ru/upload/iblock/f55/f5509a4d83fadd2de14140716f1412a4.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-180-САЛ;180х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012666;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;"ПР-СО-180(180)-САЛ Салатовая Простынь ткань Сатин однотонный 180х214";5;613;http://alvitek.com.ru/upload/iblock/cf3/cf38c601ab915c8ce331b91bb7be8ee6.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
