"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;Фото;Описание
"Набор полотенец";;АРТЕКС;Китай;;АР-4290043-роз;38х64;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925534640;;;;;"Тональность изделия может отличаться от фото";;;;;"4290043 Розовый 38х64х2шт в коробке Набор кухонных полотенец  АРТЕКС";8;162;http://alvitek.com.ru/upload/iblock/e18/e18ba8f5bd200308ff052b67fb448893.jpeg;
"Набор полотенец";;АРТЕКС;Китай;;АР-4290044-оранж;38х64;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925534657;;;;;"Тональность изделия может отличаться от фото";;;;;"4290044 Оранжевый 38х64х2шт в коробке Набор кухонных полотенец  АРТЕКС";6;162;http://alvitek.com.ru/upload/iblock/eb2/eb2125b5e364ffd55c1a878545973b36.jpeg;
Полотенце;;7-Я;Китай;;7-Я-8118-;33х75;;;;;;;;;;;;;;Махра-лен;;;;;;;;Пакет;;"12 шт.";;;2000925509815;;;;;"Тональность изделия может отличаться от фото";;;;"100% хлопок";"8118-12 Розочки М-Л 33х75 (12) полотенце 7-Я";16;1056;http://alvitek.com.ru/upload/iblock/317/31769e4eb07dbdd902cdde6efdc5734f.jpeg;
Полотенце;;7-Я;Китай;;7-Я-8119-12-;34х72;;;;;;;;;;;;;;Махра-лен;;;;;;;;Пакет;;"12 шт.";;;2000925509785;;;;;"Тональность изделия может отличаться от фото";;;;"100% хлопок";"8119-12 Грибочки М-Л 34х72 (12) полотенце 7-Я";14;1056;http://alvitek.com.ru/upload/iblock/349/349fb6afba2e2a41e18c74fb283a2553.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-8381";50х90;;;;;;;;;;;;;;Махра;"100%  бамбук";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000900091663;;;;;;;;;;"8381 Towel Бамбук 50х90 (6) 480гр.полотенце TWO DOLPHINS";4;1267;http://alvitek.com.ru/upload/iblock/02c/02c083b03c874462b364ce71aa3c7c09.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-8382";70х140;;;;;;;;;;;;;;Махра;"100%  бамбук";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000900091670;;;;;;;;;;"8382 Towel Бамбук 70х140 (6)  480гр полотенце TWO DOLPHINS";2;2418;http://alvitek.com.ru/upload/iblock/fd1/fd147a342b995b0888f628266b263390.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/003-GM;240х260;;;;;;;;;;;;;;;;;;;;;;"Чемодан на молнии";;;;;2000925557878;;;Жаккард;;"Тональность изделия может отличаться от фото";Сатин;;;;"240/003-GM MONDIAL 240х260 Покрывало CLEO";2;3128;http://alvitek.com.ru/upload/iblock/4b4/4b4eb39a28b6b4fa1cb7ad65fd163710.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/004-GM;240х260;;;;;;;;;;;;;;;;;;;;;;"Чемодан на молнии";;;;;2000925557885;;;Жаккард;;"Тональность изделия может отличаться от фото";Сатин;;;;"240/004-GM MONDIAL 240х260 Покрывало CLEO";5;3128;http://alvitek.com.ru/upload/iblock/a4f/a4f96a93842259085f5e711bfd99dd14.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/005-GM;240х260;;;;;;;;;;;;;;;;;;;;;;"Чемодан на молнии";;;;;2000925557892;;;Жаккард;;"Тональность изделия может отличаться от фото";Сатин;;;;"240/005-GM MONDIAL 240х260 Покрывало CLEO";5;3128;http://alvitek.com.ru/upload/iblock/49c/49c6ab0a300f55bbca2258fbdd136816.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/006-GM;240х260;;;;;;;;;;;;;;;;;;;;;;"Чемодан на молнии";;;;;2000925557908;;;Жаккард;;"Тональность изделия может отличаться от фото";Сатин;;;;"240/006-GM MONDIAL 240х260 Покрывало CLEO";2;3128;http://alvitek.com.ru/upload/iblock/072/072b5c57286f97dee6338df66e0732b7.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/007-GM;240х260;;;;;;;;;;;;;;;;;;;;;;"Чемодан на молнии";;;;;2000925557915;;;Жаккард;;"Тональность изделия может отличаться от фото";Сатин;;;;"240/007-GM MONDIAL 240х260 Покрывало CLEO";3;3128;http://alvitek.com.ru/upload/iblock/2f7/2f7a3f03713d3c4fe2031866feaa56b5.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/008-GM;240х260;;;;;;;;;;;;;;;;;;;;;;"Чемодан на молнии";;;;;2000925557922;;;Жаккард;;"Тональность изделия может отличаться от фото";Сатин;;;;"240/008-GM MONDIAL 240х260 Покрывало CLEO";2;3128;http://alvitek.com.ru/upload/iblock/7ee/7ee5aaead0c284859e71f5a8ca7c3cac.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/010-GM;240х260;;;;;;;;;;;;;;;;;;;;;;"Чемодан на молнии";;;;;2000925557939;;;Жаккард;;"Тональность изделия может отличаться от фото";Сатин;;;;"240/010-GM MONDIAL 240х260 Покрывало CLEO";3;3128;http://alvitek.com.ru/upload/iblock/bbf/bbf60739c65234365301d8015dcc22a2.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/002-BM;240х260+50х70+5х2шт;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557809;;;;;"Тональность изделия может отличаться от фото";;;;;"240/002-BM BLUMARINE 240х260+50х70+5х2шт Покрывало CLEO";6;3128;http://alvitek.com.ru/upload/iblock/caa/caac61203d155f84a0cb9e64f1d76c7d.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/003-BM;240х260+50х70+5х2шт;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557816;;;;;"Тональность изделия может отличаться от фото";;;;;"240/003-BM BLUMARINE 240х260+50х70+5х2шт Покрывало CLEO";5;3128;http://alvitek.com.ru/upload/iblock/ce1/ce108932c46b0ec1975892798443e970.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/004-BM;240х260+50х70+5х2шт;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557823;;;;;"Тональность изделия может отличаться от фото";;;;;"240/004-BM BLUMARINE 240х260+50х70+5х2шт Покрывало CLEO";5;3128;http://alvitek.com.ru/upload/iblock/e4b/e4be2c731f56c9f3688351fe15216526.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/005-BM;240х260+50х70+5х2шт;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557830;;;;;"Тональность изделия может отличаться от фото";;;;;"240/005-BM BLUMARINE 240х260+50х70+5х2шт Покрывало CLEO";4;3128;http://alvitek.com.ru/upload/iblock/468/4680692bb3c12c516e4d5a30fd0a7581.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/007-BM;240х260+50х70+5х2шт;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557847;;;;;"Тональность изделия может отличаться от фото";;;;;"240/007-BM BLUMARINE 240х260+50х70+5х2шт Покрывало CLEO";5;3128;http://alvitek.com.ru/upload/iblock/5eb/5ebd0d8ef49f611073c538860f0a8792.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/008-BM;240х260+50х70+5х2шт;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557854;;;;;"Тональность изделия может отличаться от фото";;;;;"240/008-BM BLUMARINE 240х260+50х70+5х2шт Покрывало CLEO";6;3128;http://alvitek.com.ru/upload/iblock/826/826dcfbbea37bb67e6e0c82c715b7def.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/010-BM;240х260+50х70+5х2шт;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557861;;;;;"Тональность изделия может отличаться от фото";;;;;"240/010-BM BLUMARINE 240х260+50х70+5х2шт Покрывало CLEO";4;3128;http://alvitek.com.ru/upload/iblock/439/439659715cef8ce1814e65527fd7533e.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/004-CH;240х260;;;"50х70+5 (2шт.)";;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557946;;;;;"Тональность изделия может отличаться от фото";;;;;"240/004-CH MONIFICO 240х260+50х70+5х2шт Покрывало CLEO";4;2591;http://alvitek.com.ru/upload/iblock/e13/e1339281d2f2f06bd7969e8fced9c49d.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/012-CH;240х260;;;"50х70+5 (2шт.)";;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557953;;;;;"Тональность изделия может отличаться от фото";;;;;"240/012-CH MONIFICO 240х260+50х70+5х2шт Покрывало CLEO";1;2591;http://alvitek.com.ru/upload/iblock/4f8/4f8bf965bc91b831736b35b29b2c94fe.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/014-CH;240х260;;;"50х70+5 (2шт.)";;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557960;;;;;"Тональность изделия может отличаться от фото";;;;;"240/014-CH MONIFICO 240х260+50х70+5х2шт Покрывало CLEO";4;2591;http://alvitek.com.ru/upload/iblock/7be/7bee8d15327154e53488d323ef4f5bb5.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/016-CH;240х260;;;"50х70+5 (2шт.)";;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557977;;;;;"Тональность изделия может отличаться от фото";;;;;"240/016-CH MONIFICO 240х260+50х70+5х2шт Покрывало CLEO";5;2591;http://alvitek.com.ru/upload/iblock/62d/62de505d2df321bf7438244367b02e06.jpeg;
Покрывало;;CLEO;Китай;;CLEO-230/001-MT;230х250;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557984;;;;;"Тональность изделия может отличаться от фото";;;;;"230/001-MT MUSCAT 230х250 Покрывало CLEO";1;2444;http://alvitek.com.ru/upload/iblock/250/25054ceec82eedce0d8e748819acd350.jpeg;
Покрывало;;CLEO;Китай;;CLEO-230/002-MT;230х250;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925557991;;;;;"Тональность изделия может отличаться от фото";;;;;"230/002-MT MUSCAT 230х250 Покрывало CLEO";4;2444;http://alvitek.com.ru/upload/iblock/f38/f3833945fdd51341d634f29da76aeee7.jpeg;
Покрывало;;CLEO;Китай;;CLEO-230/003-MT;230х250;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925558004;;;;;"Тональность изделия может отличаться от фото";;;;;"230/003-MT MUSCAT 230х250 Покрывало CLEO";3;2444;http://alvitek.com.ru/upload/iblock/04f/04fb7b6c520ef7501f09f65b3e4dc55e.jpeg;
Покрывало;;CLEO;Китай;;CLEO-230/006-MT;230х250;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925558028;;;;;"Тональность изделия может отличаться от фото";;;;;"230/006-MT MUSCAT 230х250 Покрывало CLEO";3;2444;http://alvitek.com.ru/upload/iblock/2d5/2d5eb1c5a664b70a0391be99f7c98aa0.jpeg;
Покрывало;;CLEO;Китай;;CLEO-230/009-MT;230х250;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925558042;;;;;"Тональность изделия может отличаться от фото";;;;;"230/009-MT MUSCAT 230х250 Покрывало CLEO";2;2444;http://alvitek.com.ru/upload/iblock/1fb/1fb3a8be700019425863b2a5d631b773.jpeg;
"Комплект постельного белья";;Непоседа;Россия;;Непоседа-дет-407366;Детский;;;"40х60 (1шт.)";147х112;150х100;Обычная;;;;;;;;"Бязь Отечественная";"100% хлопок";;Прорезь(запах);Прорезь(запах);;;;"Прямоугольная ПВХ";;;;;4606446904337;;;;;"Тональность изделия может отличаться от фото";;;;;"Мишки-Игрушки вид 1 ""Кошки-мышки "" КПБ детский бязь рис. 407366";2;550;http://alvitek.com.ru/upload/iblock/8f2/8f2cd107c5a6740330f24c184e32919f.jpeg;
Одеяло;"Овечья шерсть";"AlViTek (АльВиТек)";Россия;Стандарт;ОПШ-О-22;200х220;Легкое;;;;;;;"Овечья шерсть,пэ";;;"300 гр/кв.м";;;Поликоттон;"70% хлопок/30% полиэстр";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048000885;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ОПШ-О-22 Одеяло 200х220 легкое";12;1357;http://alvitek.com.ru/upload/iblock/41d/41d0e3d6c6a823187a69858f639cbab9.jpeg;"одеяло с наполнителем из овечьей шерсти 300 г/кв.м, чехол - ткань смесовая (поликоттон; 70% - хлопок/30% - полиэстер; 120 г/кв.м) , окантовка косая бейка, уголок, бирка, постер, в чемодане"
Подушка;Дольче;"AlViTek (АльВиТек)";Россия;Традиция;ПТ-070;68х68;;Упругая;;;;;;"30%пуха 70% пера";;;"2 кг";;;Тик;"100% хлопок";;;;;;Кант;Пакет;;;;;4607048005361;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ПТ-070 подушка полупуховая 68*68";247;384;http://alvitek.com.ru/upload/iblock/03c/03cbe58e88251e44945110b013dba447.jpeg;"подушка с наполнителем 30% пуха 70%пера водоплавующей птицы 2кг, чехол (хлопок 100%) - ткань пуходержащий тик, кант, бирка, пакет"
"Набор полотенец";;VILENA;;;VILENA-70х140-Любимому-ко;70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"1 шт.";;420г/м;2000925540849;;;;;"Тональность изделия может отличаться от фото";;;;;"Любимому-1 Коричневый 23 Февраля  70х140 Полотенце в коробке VILENA";5;262;http://alvitek.com.ru/upload/iblock/738/738543087f57fa1db5b8a59769ae1886.jpeg;
"Простыня на резинке";"Простыня махровая на резинке";"AlViTek (АльВиТек)";Россия;Стандарт;ПМР-МЕ-140;140х200+20;;;;;;"На резинке";;;;;;;;Махра;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;160г/м;2000850185900;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;"ПМР-МЕ-140 Ментол простыня махровая на резинке 140х200+20";18;580;http://alvitek.com.ru/upload/iblock/027/027fe9d9ea7a6d0bf1c186f4fd480fcc.jpeg;"ткань-махра трикотажная(хлопок 100%), бирка, постер, пакет"
"Простыня на резинке";"Простыня махровая на резинке";"AlViTek (АльВиТек)";Россия;Стандарт;ПМР-МЕ-160;160х200+20;;;;;;"На резинке";;;;;;;;Махра;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;160г/м;2000850185917;;Лиловый;;;"Тональность изделия может отличаться от фото";;;;;"ПМР-МЕ-160 Ментол простыня махровая на резинке 160х200+20";25;626;http://alvitek.com.ru/upload/iblock/e36/e36ad0e8cfb42ea937fb51daeb2bdab2.jpeg;"ткань-махра трикотажная(хлопок 100%), бирка, постер, пакет"
"Простыня на резинке";"Простыня махровая на резинке";"AlViTek (АльВиТек)";Россия;Стандарт;ПМР-МЕ-180;180х200+20;;;;;;"На резинке";;;;;;;;Махра;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;160г/м;2000850185924;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;"ПМР-МЕ-180(180) Ментол простыня махровая на резинке 180х200+20";19;677;http://alvitek.com.ru/upload/iblock/813/81365cdd7036dae4a861dcda9a00013a.jpeg;"ткань-махра трикотажная(хлопок 100%), бирка, постер, пакет"
Подушка;Гостиница;"AlViTek (АльВиТек)";Россия;Стандарт;ПГ-Т-050;50х68;;Средняя;;;;;;"Холфит-шарики (15dх64)";;;"0,7 кг";;;Поликоттон;"50% хлопок/50% полиэстр";;;;;;;Пакет;;;;;4607048007853;;Белый;;;"Тональность изделия может отличаться от фото";;;;;"ПГ-Т-050 Подушка ""Гостиница"" 50х70 (мин.10шт)";1;218;http://alvitek.com.ru/upload/iblock/db9/db9b8d3ee3fa448bae58a6ac6140b738.jpeg;"подушка: чехол ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м), наполнитель 0,7кг ""Холфит-шарики"" (полое  извитое силиконизированное волокно), бирка, в пакете"
"Комплект постельного белья";;СайлиД;Китай;;В-26-078;"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";150х215-2шт.;250х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000727676692;;;;;"Тональность изделия может отличаться от фото";;;;;"B-078 КПБ семейный сатин ""САЙЛИД""";1;3206;http://alvitek.com.ru/upload/iblock/23e/23e3926bc09473f49ed8ec418ba5aff7.jpeg;
Плед;Эльф;Vladi;Украина;;"Э-200- 02-04";200х220;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000868188672;;;;;"Тональность изделия может отличаться от фото";;;;"70% овечья шерсть+30% ПЭ";"02-04 Бел/лил/слива 200х220 Эльф плед новозеланд. шерсть";1;1668;http://alvitek.com.ru/upload/iblock/992/99279a7937c1bcaac2fa448caeae18a9.jpeg;
Салфетка;;АРТЕКС;Китай;;АР-2017;34х36,5;;;;;;;;;;;;;;Махра-лен;"100% хлопок";;;;;;;Пакет;;"12 шт.";;280г/м;2000925501963;;;;;"Тональность изделия может отличаться от фото";;;;;"2017 34х36,5 (12) салфетка  двухсторонняя АРТЕКС";14;486;http://alvitek.com.ru/upload/iblock/ef7/ef76e744425d78e0d79bc2f78af6f7bc.jpeg;
Подушка;Дольче;"AlViTek (АльВиТек)";Россия;Премиум;ПТ-АП-050;45х65х5;;Средняя;;;;;;"100%пуха гусиного (по ГОСТу) категория ""Премиум""";;;"0,65 кг";;;"Сатин пуходержащий";"модал 35%/хлопок 65%";;;;;;"Кант атласный";"Сумка оригинальная";;;;;4607048011584;;Белый;;;"Тональность изделия может отличаться от фото";;;;;"ПТ-АП-050 подушка пуховая ""ПРЕМИУМ"" 45х65х5";19;2895;http://alvitek.com.ru/upload/iblock/d0b/d0b12b4bf3ce522fc86d428ba5e004fd.jpeg;"подушка с наполнителем 100% пуха  (категории Премиум 0,65кг), ткань пуходержащий сатин (модал 35%/хлопок 65%) , кант, уголок, бирка, флажок, постер, сумка оригинальная"
Подушка;Дольче;"AlViTek (АльВиТек)";Россия;Премиум;ПТ-АП-070;65х65х5;;Средняя;;;;;;"100%пуха гусиного (по ГОСТу) категория ""Премиум""";;;"0,85 кг";;;"Сатин пуходержащий";"модал 35%/хлопок 65%";;;;;;"Кант атласный";"Сумка оригинальная";;;;;4607048011607;;Белый;;;"Тональность изделия может отличаться от фото";;;;;"ПТ-АП-070 подушка пуховая ""ПРЕМИУМ"" 65х65х5";6;3364;http://alvitek.com.ru/upload/iblock/1e4/1e451f64bb9281ce7927c2337f968f9c.jpeg;"подушка с наполнителем 100% пуха  (категории Премиум 0,85кг), ткань пуходержащий сатин (модал 35%/хлопок 65%) , кант, уголок, бирка, флажок, постер, сумка оригинальная"
"Комплект постельного белья";;CLEO;;;CLEO-SK-2/401;Двуспальное;;;"70х70 (2шт.)";180х210;230х240;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925564982;;;;;"Тональность изделия может отличаться от фото";;;;;"SK-2/401 КПБ 2 СП Сатин печатный нав-ки ( 70х70х2 шт ) в коробке CLEO";1;2171;http://alvitek.com.ru/upload/iblock/bc5/bc58a0456e863b943850c17655f2cb3a.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/011-BM;240х260+50х70+5х2шт;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925564968;;;;;"Тональность изделия может отличаться от фото";;;;;"240/011-BM BLUMARINE 240х260+50х70+5х2шт Покрывало CLEO";3;3128;http://alvitek.com.ru/upload/iblock/437/437bc52c8dfb2aa225945f5f6bf9f938.jpeg;
Покрывало;;CLEO;Китай;;CLEO-230/012-MT;230х250;;;;;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925564975;;;;;"Тональность изделия может отличаться от фото";;;;;"230/012-MT MUSCAT 230х250 Покрывало CLEO";3;2444;http://alvitek.com.ru/upload/iblock/67f/67f7acaeb4e3c6c4cbea3c8a8230a6c1.jpeg;
Подушка;Холфит;"AlViTek (АльВиТек)";Россия;Стандарт;ПП-040;38х38;;Упругая;;;;;;"Холфит-шарики (7dх32)";;;"0,25 кг";;;Поликоттон;"50% хлопок/50% полиэстр";;;;;;Кант;Пакет;;;;;4607048004371;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ПП- 040 Подушка ""Стандарт"" 38х38";20;123;http://alvitek.com.ru/upload/iblock/0d0/0d0bd23617e813e447b3bb8fab4cd298.jpeg;"подушка: чехол ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м), наполнитель 0,25кг ""Холфит-шарики"" (полое  извитое силиконизированное волокно), кант, бирка, в пакете"
Подушка;Антикризис;"AlViTek (АльВиТек)";Россия;;ПС-070;68х68;;Средняя;;;;;;"Холфит-шарики (15dх64)";;;"0,75 кг";;;Полисатин;"100%  пэ";;;;;;;Пакет;;;;;4607048004418;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ПС-070 Подушка ""Антикризис"" 68х68";44;185;http://alvitek.com.ru/upload/iblock/15d/15d9b6617ff59003e540c3464e52cd4e.jpeg;"подушка с наполнителем ""Холфит-шарики""   (750 гр. полое силиконизированное волокно 15Dx64  ), чехол - ткань ПЭ, без канта, бирка, в пакете без ручки"
;;;;Стандарт;КОСТЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;4607048000687;;;;;"Тональность изделия может отличаться от фото";;;;;"""КОСТЬ"" Подушка ""Декоративная""";13;246;http://alvitek.com.ru/upload/iblock/a3f/a3faa14bc15aee6433448da718c06af3.jpeg;"подушка декоративная, наполнитель ""Холфит"" (полое силиконизированное волокно), чехол - ткань смесовая, эксклюзивная упаковка"
Покрывало;;Марианна;Россия;;П-ло-шелк-230-Агата;230х250;;;;;;;;;;;;;;"Искуственный шелк";"100%  пэ";;;;;Ультрастеп;Бейка;"Сумка оригинальная";;;;;2000900094961;;;;;;;;;;"Агата 230х250 шелк искуственный 3D Покрывало ""Марианна""";6;662;http://alvitek.com.ru/upload/iblock/de6/de6f0f539c12b5735782645067c13623.jpeg;
Покрывало;;Марианна;Россия;;П-ло-шелк-230-Аманда;230х250;;;;;;;;;;;;;;"Искуственный шелк";"100%  пэ";;;;;Ультрастеп;Бейка;"Сумка оригинальная";;;;;2000900094978;;;;;;;;;;"Аманда 230х250 шелк искуственный 3D Покрывало ""Марианна""";1;662;http://alvitek.com.ru/upload/iblock/9bc/9bc4580164560be492646591c67b64bc.jpeg;
Покрывало;;Марианна;Россия;;П-ло-шелк-230-Мозайка;230х250;;;;;;;;;;;;;;"Искуственный шелк";"100%  пэ";;;;;Ультрастеп;Бейка;"Сумка оригинальная";;;;;2000900094992;;;;;;;;;;"Мозайка 230х250 шелк искуственный 3D Покрывало ""Марианна""";5;662;http://alvitek.com.ru/upload/iblock/874/874e02c777dc0ae6608d8b138712c585.jpeg;
Одеяло;Модерато;"AlViTek (АльВиТек)";Россия;Люкс;МС-О-22;200х220;Легкое;;;;;;;"Овечья шерсть Меринос,пэ";;;"200 гр/кв.м";;;"Сатин жаккард";"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048003534;;Кремовый;;;"Тональность изделия может отличаться от фото";;;;;"МС-О-22  Одеяло ""Модерато"" 200х220 легкое";21;2077;http://alvitek.com.ru/upload/iblock/317/317463833616d99976116b5cf8832a11.jpeg;"одеяло с наполнителем из овечьей шерсти меринос 200 г/кв.м, чехол (хлопок 100%)- ткань сатин-жаккард бежевый , окантовка - косая бейка, уголок, бирка, флажок, постер, в чемодане"
Наматрасник;"Овечья шерсть";"AlViTek (АльВиТек)";Россия;Стандарт;НШР-070;70х200;;;;;;;;"Овечья шерсть,пэ";;;"300 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Сумка оригинальная";;;;;4607048003572;;"Однотонный ,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"НШР-070  Наматрасник с резинкой ""Шерсть-Стандарт"" 70х200";16;473;http://alvitek.com.ru/upload/iblock/0fb/0fbaca09008d5ef2092ae7103745559a.jpeg;"наматрасник на резинке с наполнителем из овечьей шерсти 300 г/кв.м, чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м), окантовка- бейка ПЭ, бирка, постер, в чемодане"
Наматрасник;Холфит;"AlViTek (АльВиТек)";Россия;;НФР-160;160х200;;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Сумка оригинальная";;;;;4607048003206;;"Однотонный ,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"НФР-160  Наматрасник с резинкой ""Холфит-Стандарт"" 160х200";24;902;http://alvitek.com.ru/upload/iblock/2c8/2c8904dd2a62b0609fee761487575965.jpeg;"наматрасник на резинке с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г./кв.м), чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м), окантовка- бейка ПЭ, бирка, постер, в чемодане"
"Одеяло байковое";;Ермолино;Россия;;"57-3ЕТ-Эконом -серый клет";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925545066;;"Серый клетка";;;"Тональность изделия может отличаться от фото";;;;"90% х/б+10%ПАН";"Серый Клетка Байковое 100х140 90% х/б  арт. 57-3ЕТ ( Эконом ) Ермолино Одеяло";11;250;http://alvitek.com.ru/upload/iblock/b14/b14249d945a296d47ce7f6c290f30cbc.jpeg;
"Одеяло байковое";;Ермолино;Россия;;5772ВЖ-эконом-серый;150х215;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925545110;;Серый;;;"Тональность изделия может отличаться от фото";;;;"75% х/б +25% вискоза";"Серый Байковое жаккард 215х150 75% х/б+25%  вискоза арт. 5772ВЖ ( Эконом ) Ермолино";18;607;http://alvitek.com.ru/upload/iblock/7e4/7e46db869c563dd18f0aa7e455550b88.jpeg;
