"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;Фото;Описание
"Комплект постельного белья";;CLEO;;;CLEO-SK-2/426;Двуспальное;;;"70х70 (2шт.)";180х210;230х240;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925556673;;;;;"Тональность изделия может отличаться от фото";;;;;"SK-2/426 КПБ 2 СП Сатин печатный нав-ки ( 70х70х2 шт ) в коробке CLEO";1;2171;http://alvitek.com.ru/upload/iblock/cb8/cb88a5ab58d35a02c0e621290eeaaf9d.jpeg;
"Комплект постельного белья";;CLEO;;;CLEO-семья-SK-41/402;"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";150х210-2шт.;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925556789;;;;;"Тональность изделия может отличаться от фото";;;;;"SK-41/402 КПБ Семья Сатин печатный ( 70х70х2 шт+50х70х2шт ) в коробке CLEO";2;3178;http://alvitek.com.ru/upload/iblock/07e/07e75f29acf3efafc3e2b92171f2df03.jpeg;
Наматрасник;"Овечья шерсть";"AlViTek (АльВиТек)";Россия;Стандарт;НШР-220;200х220;;;;;;;;"Овечья шерсть,пэ";;;"300 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Сумка оригинальная";;;;;4607048003596;;"Однотонный ,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"НШР-220  Наматрасник с резинкой ""Шерсть-Стандарт"" 220х200";5;1319;http://alvitek.com.ru/upload/iblock/0d2/0d29cd9aaa43dbfeec499e522056d633.jpeg;"наматрасник на резинке с наполнителем из овечьей шерсти 300 г/кв.м, чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м), окантовка- бейка ПЭ, бирка, постер, в чемодане"
"Комплект постельного белья";;KAZANOV.A;Китай;;"KAZANOV.A сем- Доната";"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";155х210-2шт.;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;Коробка;;;;;2000925505602;;;;;"Тональность изделия может отличаться от фото";;;;;"КПБ семейный ""KAZANOV.A"" сатин Доната";2;4537;http://alvitek.com.ru/upload/iblock/2b4/2b49a4390a70992abadbdfc7d0b1fc74.jpeg;
"Комплект постельного белья";;KAZANOV.A;Китай;;"KAZANOV.A сем-Луиджо";"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";155х210-2шт.;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;Коробка;;;;;2000925505626;;;;;"Тональность изделия может отличаться от фото";;;;;"КПБ семейный ""KAZANOV.A"" сатин Луиджо";1;3544;http://alvitek.com.ru/upload/iblock/170/1704050b5e6ddd60aea8b74529f65eac.jpeg;
"Комплект постельного белья";;KAZANOV.A;Китай;;"KAZANOV.A сем-Маттиа";"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";155х210-2шт.;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;Коробка;;;;;2000925505633;;;;;"Тональность изделия может отличаться от фото";;;;;"КПБ семейный ""KAZANOV.A"" сатин Маттиа";2;4537;http://alvitek.com.ru/upload/iblock/a27/a2772059f4cd68d8521994a427b671bc.jpeg;
Подушка;Дольче;"AlViTek (АльВиТек)";Россия;Стандарт;ПТ-П-070;68х68;;Упругая;;;;;;"70% пуха 30% пера, кат. Прима (пух с мелким пером)";;;"1,5 кг";;;Тик;"100% хлопок";;;;;;Кант;"Сумка оригинальная";;;;;4607048005385;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ПТ-П-070 подушка пуховая ""ПРИМА"" 68*68";40;1110;http://alvitek.com.ru/upload/iblock/03e/03e9390fd37c729e1eadd83e66565f4c.jpeg;"подушка с наполнителем 70% пуха 30% пера (категории Прима, 1,5кг), чехол (хлопок 100%) - ткань пуходержащий тик, кант, уголок, бирка, флажок, постер, в сумке"
"Комплект постельного белья";;"AlViTek (АльВиТек)";Россия;;CДA-10-010/KT-70;;;;"40х60 (1шт.)";147х115;150х100;;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;4607048017104;;;;;"Тональность изделия может отличаться от фото";;;Реактивная;;"CДA-10-010/KT-70 Облачка КПБ Детский в кроватку Сатин  АльВиТек";5;787;http://alvitek.com.ru/upload/iblock/8ca/8cacf8436063419d84752d2e93df9385.jpeg;
Подушка;Camel;"AlViTek (АльВиТек)";Россия;Комфорт;ПКВ-04060;40х60;;Средняя;;;;;;;"""Верблюжья шерсть""";"Искуственный ""Лебяжий пух""";;"100 гр/кв.м";"0,35 кг";Полисатин;;;;;;"Многоигольная машина";;Пакет;;;;;4607048013151;;Кремовый;;;"Тональность изделия может отличаться от фото";;;;"100% полиэстр";"ПКВ-04060 Подушка ""Camel"" 40х60";14;130;http://alvitek.com.ru/upload/iblock/e23/e23ca5c674f39b8e95c69dabec96ac55.jpeg;"подушка: стеганный чехол ,наполнитель ""верблюжья шерсть"" 100 г/кв.м, ткань - полисатин, наполнитель ""Лебяжий пух"" ( 0,35 кг высокосиликонизированное микроволокно), бирка, постер, в пакете"
Полотенце;;АРТЕКС;Китай;;АР-4214022;38х51;;;;;;;;;;;;;;Микрофибра;"100%  пэ";;;;;;;Пакет;;"12 шт.";;250г/м;2000925548258;;;;;"Тональность изделия может отличаться от фото";;;;;"4214022 38х51 (12) пол-це микрофибра для сушки посуды  АРТЕКС";6;1291;http://alvitek.com.ru/upload/iblock/bf8/bf8f114b9a1cfb97282d63bdbe51cda0.jpeg;
