"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;Фото;Описание
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-4-132;Двуспальное;;;"70х70 (2шт.)";180х215;200х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;"Прямоугольная ПВХ";;;;;2000925568324;;;;;"Тональность изделия может отличаться от фото";;;Пигментная;;"CA-4-132  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";8;1708;http://alvitek.com.ru/upload/iblock/337/337fe18f2f2fc363be836cf00058f87e.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-4-133;Двуспальное;;;"70х70 (2шт.)";180х215;200х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Молния;Молния;;;;"Прямоугольная ПВХ";;;;;2000925568331;;;;;"Тональность изделия может отличаться от фото";;;Пигментная;;"CA-4-133  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";8;1708;http://alvitek.com.ru/upload/iblock/8d8/8d8571f3561a7cbb12e69345be5f2cb5.jpeg;
"Набор полотенец";;MERZUKA;Турция;;10169-зел;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925555737;;;;;"Тональность изделия может отличаться от фото";;;;;"10169 Зеленый PAPILLON махра ( 50х90+70х140) в коробке Набор полотенец  MERZUKA";1;692;http://alvitek.com.ru/upload/iblock/024/024ef0864f019a96fee9fa0231c521c0.jpeg;
"Набор полотенец";;MERZUKA;Турция;;10169-оранж;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925555751;;;;;"Тональность изделия может отличаться от фото";;;;;"10169 Оранжевый PAPILLON махра ( 50х90+70х140) в коробке Набор полотенец  MERZUKA";2;692;http://alvitek.com.ru/upload/iblock/245/2451f00b5d7c3160cea7da3da507a062.jpeg;
"Набор полотенец";;MERZUKA;Турция;;10169-персик;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925555768;;;;;"Тональность изделия может отличаться от фото";;;;;"10169 Персиковый PAPILLON махра ( 50х90+70х140) в коробке Набор полотенец  MERZUKA";2;692;http://alvitek.com.ru/upload/iblock/116/11605810d9022a0cc87bda9802bd205b.jpeg;
"Набор полотенец";;MERZUKA;Турция;;10169-роз;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925555775;;;;;"Тональность изделия может отличаться от фото";;;;;"10169 Розовый PAPILLON махра ( 50х90+70х140) в коробке Набор полотенец  MERZUKA";4;692;http://alvitek.com.ru/upload/iblock/f98/f982c24434eab4b3967aabe37245031a.jpeg;
"Набор полотенец";;MERZUKA;Турция;;10169-сирен;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925555782;;;;;"Тональность изделия может отличаться от фото";;;;;"10169 Сиреневый PAPILLON махра ( 50х90+70х140) в коробке Набор полотенец  MERZUKA";3;692;http://alvitek.com.ru/upload/iblock/f97/f97e74e93cd35d9ab98b83eee0bff29e.jpeg;
"Набор полотенец";;MERZUKA;Турция;;10169-фиолет;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925555799;;;;;"Тональность изделия может отличаться от фото";;;;;"10169 Фиолетовый PAPILLON махра ( 50х90+70х140) в коробке Набор полотенец  MERZUKA";3;692;http://alvitek.com.ru/upload/iblock/ccb/ccbc7d95239337d9715497c66b827b67.jpeg;
"Комплект постельного белья";;CLEO;;;CLEO-SK-2/409;Двуспальное;;;"70х70 (2шт.)";180х210;230х240;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925556642;;;;;"Тональность изделия может отличаться от фото";;;;;"SK-2/409 КПБ 2 СП Сатин печатный нав-ки ( 70х70х2 шт ) в коробке CLEO";1;2171;http://alvitek.com.ru/upload/iblock/383/383cef31e24aad76df0f43c60c442e28.jpeg;
"Комплект постельного белья";;CLEO;;;CLEO-SK-2/422;Двуспальное;;;"70х70 (2шт.)";180х210;230х240;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925556666;;;;;"Тональность изделия может отличаться от фото";;;;;"SK-2/422 КПБ 2 СП Сатин печатный нав-ки ( 70х70х2 шт ) в коробке CLEO";2;2171;http://alvitek.com.ru/upload/iblock/968/968717238c5fab4fc7792d80f5759564.jpeg;
